specimen	reagent_tissue	litter	vendor	mouse	tissue_type	log_IL1a	VEGF	FGF	IL17	IL2	MIG	IL4	cage	IL1a
Tissue__CharRiv1_10_Lung__	Tissue	CharRiv1	Charles_River	CR1_10	Lung	0.781728778	64.43198319	713.2781485	0.268937937	13.48828239	25.04194319	6.359793836	CR_1_2	6.049629503
Tissue__CharRiv1_10_Nasal_	Tissue	CharRiv1	Charles_River	CR1_10	Nasal	0.781728778	64.43198319	713.2781485	0.268937937	13.48828239	25.04194319	6.359793836	CR_1_2	6.049629503
Tissue__CharRiv1_10_Tongue	Tissue	CharRiv1	Charles_River	CR1_10	Tongue	0.781728778	64.43198319	713.2781485	0.268937937	13.48828239	25.04194319	6.359793836	CR_1_2	6.049629503
Tissue__CharRiv1_01_Cecum_	Tissue	CharRiv1	Charles_River	CR1_1	Cecum	1.112810813	44.44161124	475.8391435	1.213707138	16.34675067	29.09651984	18.00672613	CR_1_1	12.96614318
Tissue__CharRiv1_01_Lung__	Tissue	CharRiv1	Charles_River	CR1_1	Lung	1.112810813	44.44161124	475.8391435	1.213707138	16.34675067	29.09651984	18.00672613	CR_1_1	12.96614318
Tissue__CharRiv1_01_Nasal_	Tissue	CharRiv1	Charles_River	CR1_1	Nasal	1.112810813	44.44161124	475.8391435	1.213707138	16.34675067	29.09651984	18.00672613	CR_1_1	12.96614318
Tissue__CharRiv1_01_Tongue	Tissue	CharRiv1	Charles_River	CR1_1	Tongue	1.112810813	44.44161124	475.8391435	1.213707138	16.34675067	29.09651984	18.00672613	CR_1_1	12.96614318
Tissue__CharRiv1_02_Cecum_	Tissue	CharRiv1	Charles_River	CR1_2	Cecum	0.800308191	53.83171533	545.8592652	0.58025468	14.37953523	15.62697712	10.43254943	CR_1_1	6.314052534
Tissue__CharRiv1_02_Lung__	Tissue	CharRiv1	Charles_River	CR1_2	Lung	0.800308191	53.83171533	545.8592652	0.58025468	14.37953523	15.62697712	10.43254943	CR_1_1	6.314052534
Tissue__CharRiv1_02_Nasal_	Tissue	CharRiv1	Charles_River	CR1_2	Nasal	0.800308191	53.83171533	545.8592652	0.58025468	14.37953523	15.62697712	10.43254943	CR_1_1	6.314052534
Tissue__CharRiv1_02_Tongue	Tissue	CharRiv1	Charles_River	CR1_2	Tongue	0.800308191	53.83171533	545.8592652	0.58025468	14.37953523	15.62697712	10.43254943	CR_1_1	6.314052534
Tissue__CharRiv1_03_Cecum_	Tissue	CharRiv1	Charles_River	CR1_3	Cecum	0.911314594	57.86690659	613.7807063	0.733979444	13.99783035	25.04194319	9.534461692	CR_1_1	8.152946529
Tissue__CharRiv1_03_Lung__	Tissue	CharRiv1	Charles_River	CR1_3	Lung	0.911314594	57.86690659	613.7807063	0.733979444	13.99783035	25.04194319	9.534461692	CR_1_1	8.152946529
Tissue__CharRiv1_03_Nasal_	Tissue	CharRiv1	Charles_River	CR1_3	Nasal	0.911314594	57.86690659	613.7807063	0.733979444	13.99783035	25.04194319	9.534461692	CR_1_1	8.152946529
Tissue__CharRiv1_03_Tongue	Tissue	CharRiv1	Charles_River	CR1_3	Tongue	0.911314594	57.86690659	613.7807063	0.733979444	13.99783035	25.04194319	9.534461692	CR_1_1	8.152946529
Tissue__CharRiv1_04_Cecum_	Tissue	CharRiv1	Charles_River	CR1_4	Cecum	0.931821236	60.11755756	607.1102544	1.535842854	15.86858054	30.43351828	13.25823906	CR_1_1	8.547148233
Tissue__CharRiv1_04_Lung__	Tissue	CharRiv1	Charles_River	CR1_4	Lung	0.931821236	60.11755756	607.1102544	1.535842854	15.86858054	30.43351828	13.25823906	CR_1_1	8.547148233
Tissue__CharRiv1_04_Nasal_	Tissue	CharRiv1	Charles_River	CR1_4	Nasal	0.931821236	60.11755756	607.1102544	1.535842854	15.86858054	30.43351828	13.25823906	CR_1_1	8.547148233
Tissue__CharRiv1_04_Tongue	Tissue	CharRiv1	Charles_River	CR1_4	Tongue	0.931821236	60.11755756	607.1102544	1.535842854	15.86858054	30.43351828	13.25823906	CR_1_1	8.547148233
Tissue__CharRiv1_05_Cecum_	Tissue	CharRiv1	Charles_River	CR1_5	Cecum	1.067438043	55.89531943	628.9447919	0.891571423	11.29723014	35.83432887	12.27579554	CR_1_1	11.67987091
Tissue__CharRiv1_05_Lung__	Tissue	CharRiv1	Charles_River	CR1_5	Lung	1.067438043	55.89531943	628.9447919	0.891571423	11.29723014	35.83432887	12.27579554	CR_1_1	11.67987091
Tissue__CharRiv1_05_Nasal_	Tissue	CharRiv1	Charles_River	CR1_5	Nasal	1.067438043	55.89531943	628.9447919	0.891571423	11.29723014	35.83432887	12.27579554	CR_1_1	11.67987091
Tissue__CharRiv1_05_Tongue	Tissue	CharRiv1	Charles_River	CR1_5	Tongue	1.067438043	55.89531943	628.9447919	0.891571423	11.29723014	35.83432887	12.27579554	CR_1_1	11.67987091
Tissue__CharRiv1_06_Cecum_	Tissue	CharRiv1	Charles_River	CR1_6	Cecum	1.539064756	51.51226607	389.29028	0	13.32717564	11.6063942	11.34725633	CR_1_2	34.59909634
Tissue__CharRiv1_06_Lung__	Tissue	CharRiv1	Charles_River	CR1_6	Lung	1.539064756	51.51226607	389.29028	0	13.32717564	11.6063942	11.34725633	CR_1_2	34.59909634
Tissue__CharRiv1_06_Nasal_	Tissue	CharRiv1	Charles_River	CR1_6	Nasal	1.539064756	51.51226607	389.29028	0	13.32717564	11.6063942	11.34725633	CR_1_2	34.59909634
Tissue__CharRiv1_06_Tongue	Tissue	CharRiv1	Charles_River	CR1_6	Tongue	1.539064756	51.51226607	389.29028	0	13.32717564	11.6063942	11.34725633	CR_1_2	34.59909634
Tissue__CharRiv1_07_Cecum_	Tissue	CharRiv1	Charles_River	CR1_7	Cecum	0.494057575	64.31306382	556.2935744	0.268937937	12.39061923	15.63054344	5.873648899	CR_1_2	3.119303087
Tissue__CharRiv1_07_Lung__	Tissue	CharRiv1	Charles_River	CR1_7	Lung	0.494057575	64.31306382	556.2935744	0.268937937	12.39061923	15.63054344	5.873648899	CR_1_2	3.119303087
Tissue__CharRiv1_07_Nasal_	Tissue	CharRiv1	Charles_River	CR1_7	Nasal	0.494057575	64.31306382	556.2935744	0.268937937	12.39061923	15.63054344	5.873648899	CR_1_2	3.119303087
Tissue__CharRiv1_07_Tongue	Tissue	CharRiv1	Charles_River	CR1_7	Tongue	0.494057575	64.31306382	556.2935744	0.268937937	12.39061923	15.63054344	5.873648899	CR_1_2	3.119303087
Tissue__CharRiv1_08_Cecum_	Tissue	CharRiv1	Charles_River	CR1_8	Cecum	0.867125065	56.52896817	480.3835944	0	6.62979783	18.31316535	9.534461692	CR_1_2	7.364191356
Tissue__CharRiv1_08_Lung__	Tissue	CharRiv1	Charles_River	CR1_8	Lung	0.867125065	56.52896817	480.3835944	0	6.62979783	18.31316535	9.534461692	CR_1_2	7.364191356
Tissue__CharRiv1_08_Nasal_	Tissue	CharRiv1	Charles_River	CR1_8	Nasal	0.867125065	56.52896817	480.3835944	0	6.62979783	18.31316535	9.534461692	CR_1_2	7.364191356
Tissue__CharRiv1_08_Tongue	Tissue	CharRiv1	Charles_River	CR1_8	Tongue	0.867125065	56.52896817	480.3835944	0	6.62979783	18.31316535	9.534461692	CR_1_2	7.364191356
Tissue__CharRiv1_09_Cecum_	Tissue	CharRiv1	Charles_River	CR1_9	Cecum	0.6081747	46.12534559	575.6304266	0	8.701159972	19.65707488	6.788355798	CR_1_2	4.056716888
Tissue__CharRiv1_09_Lung__	Tissue	CharRiv1	Charles_River	CR1_9	Lung	0.6081747	46.12534559	575.6304266	0	8.701159972	19.65707488	6.788355798	CR_1_2	4.056716888
Tissue__CharRiv1_09_Nasal_	Tissue	CharRiv1	Charles_River	CR1_9	Nasal	0.6081747	46.12534559	575.6304266	0	8.701159972	19.65707488	6.788355798	CR_1_2	4.056716888
Tissue__CharRiv1_09_Tongue	Tissue	CharRiv1	Charles_River	CR1_9	Tongue	0.6081747	46.12534559	575.6304266	0	8.701159972	19.65707488	6.788355798	CR_1_2	4.056716888
Tissue__CharRiv2_10_Cecum_	Tissue	CharRiv2	Charles_River	CR2_10	Cecum	0.24694309	140.098012	928.8854329	0	12.39061923	6.258373818	0	CR_2_2	1.765806414
Tissue__CharRiv2_10_Lung__	Tissue	CharRiv2	Charles_River	CR2_10	Lung	0.24694309	140.098012	928.8854329	0	12.39061923	6.258373818	0	CR_2_2	1.765806414
Tissue__CharRiv2_10_Nasal_	Tissue	CharRiv2	Charles_River	CR2_10	Nasal	0.24694309	140.098012	928.8854329	0	12.39061923	6.258373818	0	CR_2_2	1.765806414
Tissue__CharRiv2_10_Tongue	Tissue	CharRiv2	Charles_River	CR2_10	Tongue	0.24694309	140.098012	928.8854329	0	12.39061923	6.258373818	0	CR_2_2	1.765806414
Tissue__CharRiv2_01_Cecum_	Tissue	CharRiv2	Charles_River	CR2_1	Cecum	1.671990753	104.4203336	713.2781485	0.58025468	17.82499193	22.34771299	16.09574341	CR_2_1	46.98841037
Tissue__CharRiv2_01_Lung__	Tissue	CharRiv2	Charles_River	CR2_1	Lung	1.671990753	104.4203336	713.2781485	0.58025468	17.82499193	22.34771299	16.09574341	CR_2_1	46.98841037
Tissue__CharRiv2_01_Nasal_	Tissue	CharRiv2	Charles_River	CR2_1	Nasal	1.671990753	104.4203336	713.2781485	0.58025468	17.82499193	22.34771299	16.09574341	CR_2_1	46.98841037
Tissue__CharRiv2_01_Tongue	Tissue	CharRiv2	Charles_River	CR2_1	Tongue	1.671990753	104.4203336	713.2781485	0.58025468	17.82499193	22.34771299	16.09574341	CR_2_1	46.98841037
Tissue__CharRiv2_02_Cecum_	Tissue	CharRiv2	Charles_River	CR2_2	Cecum	1.29419359	95.35250973	661.9368585	0.268937937	14.50737832	42.59639338	17.03817676	CR_2_1	19.68763685
Tissue__CharRiv2_02_Lung__	Tissue	CharRiv2	Charles_River	CR2_2	Lung	1.29419359	95.35250973	661.9368585	0.268937937	14.50737832	42.59639338	17.03817676	CR_2_1	19.68763685
Tissue__CharRiv2_02_Nasal_	Tissue	CharRiv2	Charles_River	CR2_2	Nasal	1.29419359	95.35250973	661.9368585	0.268937937	14.50737832	42.59639338	17.03817676	CR_2_1	19.68763685
Tissue__CharRiv2_02_Tongue	Tissue	CharRiv2	Charles_River	CR2_2	Tongue	1.29419359	95.35250973	661.9368585	0.268937937	14.50737832	42.59639338	17.03817676	CR_2_1	19.68763685
Tissue__CharRiv2_03_Cecum_	Tissue	CharRiv2	Charles_River	CR2_3	Cecum	0.64900358	107.9279352	777.5026057	0.58025468	11.12011511	16.96925582	15.20301382	CR_2_1	4.456599221
Tissue__CharRiv2_03_Lung__	Tissue	CharRiv2	Charles_River	CR2_3	Lung	0.64900358	107.9279352	777.5026057	0.58025468	11.12011511	16.96925582	15.20301382	CR_2_1	4.456599221
Tissue__CharRiv2_03_Nasal_	Tissue	CharRiv2	Charles_River	CR2_3	Nasal	0.64900358	107.9279352	777.5026057	0.58025468	11.12011511	16.96925582	15.20301382	CR_2_1	4.456599221
Tissue__CharRiv2_03_Tongue	Tissue	CharRiv2	Charles_River	CR2_3	Tongue	0.64900358	107.9279352	777.5026057	0.58025468	11.12011511	16.96925582	15.20301382	CR_2_1	4.456599221
Tissue__CharRiv2_04_Cecum_	Tissue	CharRiv2	Charles_River	CR2_4	Cecum	0.818017576	121.8146393	904.9635397	0.891571423	13.92716891	25.04194319	8.563594451	CR_2_1	6.576844535
Tissue__CharRiv2_04_Lung__	Tissue	CharRiv2	Charles_River	CR2_4	Lung	0.818017576	121.8146393	904.9635397	0.891571423	13.92716891	25.04194319	8.563594451	CR_2_1	6.576844535
Tissue__CharRiv2_04_Nasal_	Tissue	CharRiv2	Charles_River	CR2_4	Nasal	0.818017576	121.8146393	904.9635397	0.891571423	13.92716891	25.04194319	8.563594451	CR_2_1	6.576844535
Tissue__CharRiv2_04_Tongue	Tissue	CharRiv2	Charles_River	CR2_4	Tongue	0.818017576	121.8146393	904.9635397	0.891571423	13.92716891	25.04194319	8.563594451	CR_2_1	6.576844535
Tissue__CharRiv2_05_Cecum_	Tissue	CharRiv2	Charles_River	CR2_5	Cecum	0.889667183	155.8096782	803.0271809	0.58025468	9.072876523	22.34771299	7.648887552	CR_2_1	7.756524757
Tissue__CharRiv2_05_Lung__	Tissue	CharRiv2	Charles_River	CR2_5	Lung	0.889667183	155.8096782	803.0271809	0.58025468	9.072876523	22.34771299	7.648887552	CR_2_1	7.756524757
Tissue__CharRiv2_05_Nasal_	Tissue	CharRiv2	Charles_River	CR2_5	Nasal	0.889667183	155.8096782	803.0271809	0.58025468	9.072876523	22.34771299	7.648887552	CR_2_1	7.756524757
Tissue__CharRiv2_05_Tongue	Tissue	CharRiv2	Charles_River	CR2_5	Tongue	0.889667183	155.8096782	803.0271809	0.58025468	9.072876523	22.34771299	7.648887552	CR_2_1	7.756524757
Tissue__CharRiv2_06_Cecum_	Tissue	CharRiv2	Charles_River	CR2_6	Cecum	0.95147318	109.5369729	704.1827731	0.733979444	11.92806848	23.69427345	11.34725633	CR_2_2	8.942793037
Tissue__CharRiv2_06_Lung__	Tissue	CharRiv2	Charles_River	CR2_6	Lung	0.95147318	109.5369729	704.1827731	0.733979444	11.92806848	23.69427345	11.34725633	CR_2_2	8.942793037
Tissue__CharRiv2_06_Nasal_	Tissue	CharRiv2	Charles_River	CR2_6	Nasal	0.95147318	109.5369729	704.1827731	0.733979444	11.92806848	23.69427345	11.34725633	CR_2_2	8.942793037
Tissue__CharRiv2_06_Tongue	Tissue	CharRiv2	Charles_River	CR2_6	Tongue	0.95147318	109.5369729	704.1827731	0.733979444	11.92806848	23.69427345	11.34725633	CR_2_2	8.942793037
Tissue__CharRiv2_07_Cecum_	Tissue	CharRiv2	Charles_River	CR2_7	Cecum	1.44690351	166.6561528	956.531354	0.58025468	13.67260802	30.43719205	6.788355798	CR_2_2	27.98359521
Tissue__CharRiv2_07_Lung__	Tissue	CharRiv2	Charles_River	CR2_7	Lung	1.44690351	166.6561528	956.531354	0.58025468	13.67260802	30.43719205	6.788355798	CR_2_2	27.98359521
Tissue__CharRiv2_07_Nasal_	Tissue	CharRiv2	Charles_River	CR2_7	Nasal	1.44690351	166.6561528	956.531354	0.58025468	13.67260802	30.43719205	6.788355798	CR_2_2	27.98359521
Tissue__CharRiv2_07_Tongue	Tissue	CharRiv2	Charles_River	CR2_7	Tongue	1.44690351	166.6561528	956.531354	0.58025468	13.67260802	30.43719205	6.788355798	CR_2_2	27.98359521
Tissue__CharRiv2_08_Cecum_	Tissue	CharRiv2	Charles_River	CR2_8	Cecum	0.686136131	154.0381613	855.4542334	0.422662702	9.665976326	37.18475749	0	CR_2_2	4.854406392
Tissue__CharRiv2_08_Lung__	Tissue	CharRiv2	Charles_River	CR2_8	Lung	0.686136131	154.0381613	855.4542334	0.422662702	9.665976326	37.18475749	0	CR_2_2	4.854406392
Tissue__CharRiv2_08_Nasal_	Tissue	CharRiv2	Charles_River	CR2_8	Nasal	0.686136131	154.0381613	855.4542334	0.422662702	9.665976326	37.18475749	0	CR_2_2	4.854406392
Tissue__CharRiv2_08_Tongue	Tissue	CharRiv2	Charles_River	CR2_8	Tongue	0.686136131	154.0381613	855.4542334	0.422662702	9.665976326	37.18475749	0	CR_2_2	4.854406392
Tissue__CharRiv2_09_Cecum_	Tissue	CharRiv2	Charles_River	CR2_9	Cecum	0.904472702	165.5311616	853.4336142	0	11.151334	30.43443317	0	CR_2_2	8.025511142
Tissue__CharRiv2_09_Lung__	Tissue	CharRiv2	Charles_River	CR2_9	Lung	0.904472702	165.5311616	853.4336142	0	11.151334	30.43443317	0	CR_2_2	8.025511142
Tissue__CharRiv2_09_Nasal_	Tissue	CharRiv2	Charles_River	CR2_9	Nasal	0.904472702	165.5311616	853.4336142	0	11.151334	30.43443317	0	CR_2_2	8.025511142
Tissue__CharRiv2_09_Tongue	Tissue	CharRiv2	Charles_River	CR2_9	Tongue	0.904472702	165.5311616	853.4336142	0	11.151334	30.43443317	0	CR_2_2	8.025511142
Control_XXXXXXXX_01_Heprin	Control	XXXXXXXX	XXXXXXXX	1	Heprin	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_01_Homog_	Control	XXXXXXXX	XXXXXXXX	1	Homog	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_02_Homog_	Control	XXXXXXXX	XXXXXXXX	2	Homog	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_03_Homog_	Control	XXXXXXXX	XXXXXXXX	3	Homog	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_04_Homog_	Control	XXXXXXXX	XXXXXXXX	4	Homog	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_01_Isolat	Control	XXXXXXXX	XXXXXXXX	1	Isolat	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_02_Isolat	Control	XXXXXXXX	XXXXXXXX	2	Isolat	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_03_Isolat	Control	XXXXXXXX	XXXXXXXX	3	Isolat	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_04_Isolat	Control	XXXXXXXX	XXXXXXXX	4	Isolat	NA	NA	NA	NA	NA	NA	NA	NA	NA
Control_XXXXXXXX_05_Isolat	Control	XXXXXXXX	XXXXXXXX	5	Isolat	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tissue__Jackson1_10_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_10	Cecum	0.307553012	88.60228903	701.0632063	0	6.366398309	10.26605098	0	JL_1_2	2.030266328
Tissue__Jackson1_10_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_10	Lung	0.307553012	88.60228903	701.0632063	0	6.366398309	10.26605098	0	JL_1_2	2.030266328
Tissue__Jackson1_10_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_10	Nasal	0.307553012	88.60228903	701.0632063	0	6.366398309	10.26605098	0	JL_1_2	2.030266328
Tissue__Jackson1_10_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_10	Tongue	0.307553012	88.60228903	701.0632063	0	6.366398309	10.26605098	0	JL_1_2	2.030266328
Tissue__Jackson1_01_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_1	Cecum	1.004760796	124.1537036	894.5777637	1.213707138	12.42111146	22.34895439	11.00388714	JL_1_1	10.11022442
Tissue__Jackson1_01_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_1	Lung	1.004760796	124.1537036	894.5777637	1.213707138	12.42111146	22.34895439	11.00388714	JL_1_1	10.11022442
Tissue__Jackson1_01_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_1	Nasal	1.004760796	124.1537036	894.5777637	1.213707138	12.42111146	22.34895439	11.00388714	JL_1_1	10.11022442
Tissue__Jackson1_01_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_1	Tongue	1.004760796	124.1537036	894.5777637	1.213707138	12.42111146	22.34895439	11.00388714	JL_1_1	10.11022442
Tissue__Jackson1_02_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_2	Cecum	1.08172196	92.42571776	843.2313811	0.268937937	16.79911699	15.63054344	7.251033197	JL_1_1	12.07040827
Tissue__Jackson1_02_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_2	Lung	1.08172196	92.42571776	843.2313811	0.268937937	16.79911699	15.63054344	7.251033197	JL_1_1	12.07040827
Tissue__Jackson1_02_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_2	Nasal	1.08172196	92.42571776	843.2313811	0.268937937	16.79911699	15.63054344	7.251033197	JL_1_1	12.07040827
Tissue__Jackson1_02_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_2	Tongue	1.08172196	92.42571776	843.2313811	0.268937937	16.79911699	15.63054344	7.251033197	JL_1_1	12.07040827
Tissue__Jackson1_03_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_3	Cecum	0.931872786	101.4949081	707.5448493	0.891571423	14.47600049	36.50944216	8.594045927	JL_1_1	8.548162825
Tissue__Jackson1_03_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_3	Lung	0.931872786	101.4949081	707.5448493	0.891571423	14.47600049	36.50944216	8.594045927	JL_1_1	8.548162825
Tissue__Jackson1_03_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_3	Nasal	0.931872786	101.4949081	707.5448493	0.891571423	14.47600049	36.50944216	8.594045927	JL_1_1	8.548162825
Tissue__Jackson1_03_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_3	Tongue	0.931872786	101.4949081	707.5448493	0.891571423	14.47600049	36.50944216	8.594045927	JL_1_1	8.548162825
Tissue__Jackson1_04_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_4	Cecum	0.741850389	90.66684392	710.6054536	0	13.19857259	15.63054344	7.808789403	JL_1_1	5.518872857
Tissue__Jackson1_04_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_4	Lung	0.741850389	90.66684392	710.6054536	0	13.19857259	15.63054344	7.808789403	JL_1_1	5.518872857
Tissue__Jackson1_04_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_4	Nasal	0.741850389	90.66684392	710.6054536	0	13.19857259	15.63054344	7.808789403	JL_1_1	5.518872857
Tissue__Jackson1_04_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_4	Tongue	0.741850389	90.66684392	710.6054536	0	13.19857259	15.63054344	7.808789403	JL_1_1	5.518872857
Tissue__Jackson1_05_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_5	Cecum	0.781644512	77.59734575	736.0114983	0.268937937	12.33945754	14.28469842	9.040791036	JL_1_1	6.048455809
Tissue__Jackson1_05_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_5	Lung	0.781644512	77.59734575	736.0114983	0.268937937	12.33945754	14.28469842	9.040791036	JL_1_1	6.048455809
Tissue__Jackson1_05_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_5	Nasal	0.781644512	77.59734575	736.0114983	0.268937937	12.33945754	14.28469842	9.040791036	JL_1_1	6.048455809
Tissue__Jackson1_05_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_5	Tongue	0.781644512	77.59734575	736.0114983	0.268937937	12.33945754	14.28469842	9.040791036	JL_1_1	6.048455809
Tissue__Jackson1_06_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_6	Cecum	0.771668334	77.42988005	659.548628	0	10.54110195	12.9486729	0	JL_1_2	5.911100374
Tissue__Jackson1_06_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_6	Lung	0.771668334	77.42988005	659.548628	0	10.54110195	12.9486729	0	JL_1_2	5.911100374
Tissue__Jackson1_06_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_6	Nasal	0.771668334	77.42988005	659.548628	0	10.54110195	12.9486729	0	JL_1_2	5.911100374
Tissue__Jackson1_06_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_6	Tongue	0.771668334	77.42988005	659.548628	0	10.54110195	12.9486729	0	JL_1_2	5.911100374
Tissue__Jackson1_07_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_7	Cecum	0.35905395	76.71262804	481.8299742	0	6.366398309	10.26605098	0	JL_1_2	2.285882748
Tissue__Jackson1_07_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_7	Lung	0.35905395	76.71262804	481.8299742	0	6.366398309	10.26605098	0	JL_1_2	2.285882748
Tissue__Jackson1_07_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_7	Nasal	0.35905395	76.71262804	481.8299742	0	6.366398309	10.26605098	0	JL_1_2	2.285882748
Tissue__Jackson1_07_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_7	Tongue	0.35905395	76.71262804	481.8299742	0	6.366398309	10.26605098	0	JL_1_2	2.285882748
Tissue__Jackson1_08_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_8	Cecum	0.817874952	117.5741415	794.7882289	0.268937937	12.64682105	41.24596477	5.873648899	JL_1_2	6.574685028
Tissue__Jackson1_08_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_8	Lung	0.817874952	117.5741415	794.7882289	0.268937937	12.64682105	41.24596477	5.873648899	JL_1_2	6.574685028
Tissue__Jackson1_08_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_8	Nasal	0.817874952	117.5741415	794.7882289	0.268937937	12.64682105	41.24596477	5.873648899	JL_1_2	6.574685028
Tissue__Jackson1_08_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_8	Tongue	0.817874952	117.5741415	794.7882289	0.268937937	12.64682105	41.24596477	5.873648899	JL_1_2	6.574685028
Tissue__Jackson1_09_Cecum_	Tissue	Jackson1	Jackson_Labs	JL1_9	Cecum	0.781728778	78.33356459	626.4178836	0.58025468	5.853063358	7.593231896	0	JL_1_2	6.049629503
Tissue__Jackson1_09_Lung__	Tissue	Jackson1	Jackson_Labs	JL1_9	Lung	0.781728778	78.33356459	626.4178836	0.58025468	5.853063358	7.593231896	0	JL_1_2	6.049629503
Tissue__Jackson1_09_Nasal_	Tissue	Jackson1	Jackson_Labs	JL1_9	Nasal	0.781728778	78.33356459	626.4178836	0.58025468	5.853063358	7.593231896	0	JL_1_2	6.049629503
Tissue__Jackson1_09_Tongue	Tissue	Jackson1	Jackson_Labs	JL1_9	Tongue	0.781728778	78.33356459	626.4178836	0.58025468	5.853063358	7.593231896	0	JL_1_2	6.049629503
Tissue__Jackson2_10_Cecum_	Tissue	Jackson2	Jackson_Labs	JL2_10	Cecum	0.621925491	59.07049873	434.6783492	0	8.156213012	10.26605098	0	JL_2_2	4.187217217
